name,Calories per gram,Carbs per gram,Fat per gram,Protein per gram, type
"pancake mix,bobs red mill",3.121,0.6034,0.0172,0.1379, carbs
"pancake mix,flap jacked",3.625,0.4821,0.0536,0.3036, carbs
"pancake mix,kodiak cakes,crunchy peanut butter",4.113,0.5094,0.1132,0.2642, carbs
"pancake mix,hungry jack funfetti",3.509,0.7222,0.0278,0.0926, carbs
"pancake mix,kodiak cakes,whole wheat and honey",3.816,0.7105,0.0263,0.1842, carbs
"pancake mix,pamelas gluten free",3.888,0.675,0.0875,0.1, carbs
"pancake mix,power cakes (kodiakcakes)",3.66,0.566,0.0377,0.2642, carbs
"pancake/waffle mix,birch benders",3.314,0.7429,0,0.0857, carbs
"pasta,barilla plus multigrain",3.607,0.643,0.034,0.172, carbs
parsnips (raw),0.799,0.18,0.0035,0.0118, carbs
pasta sauce-tomato based,0.495,0.0752,0.0152,0.0144, carbs
"pasta,brown rice,timkyada",3.57,0.79,0.03,0.07, carbs
"pasta,barilla whole grain penne",3.57,0.73,0.03,0.13, carbs
"pasta,dreamfield low carb",3.39,0.73,0.02,0.13, carbs
"pasta,ezekiel sprouted grain spaghetti",3.75,0.7,0.04,0.16, carbs
"pasta,chickpeas,banza",3.781,0.5614,0.0614,0.2456, carbs
"pasta,jovial brown rice pasta",3.68,0.75,0.04,0.09, carbs
"pasta,jovial whole grain pasta",3.51,0.6,0.03,0.16, carbs
"pasta,lundberg brown rice pasta (organic)",3.642,0.759,0.036,0.071, carbs
"pasta,no yolk",3.75,0.73,0.01,0.14, carbs
"pasta,quinoa,ancient harvest (dry)",3.667,0.807,0.0175,0.0702, carbs
"pasta,rice noodles lungkow vermicelli (cooked)",0.747,0.1867,0,0, carbs
"pasta,organic red lentil penne,tolerant",3.729,0.6588,0.0118,0.2471, carbs
"pasta,ronzoni 150 (dry)",3.589,0.7321,0.0179,0.125, carbs
"pasta,rizopia,rice spaghetti pasta (dry)",3.598,0.7679,0.0268,0.0714, carbs
"pasta,san remo cannelloni",3.443,0.7175,0.0125,0.115, carbs
"pasta,simple truth,organic whole wheat spaghetti (dry)",3.589,0.7321,0.0179,0.125, carbs
"pasta,vermicelli",3.45,0.854,0.002,0.004, carbs
"peanut spread,nuts n more toffee crunch",5.545,0.3939,0.3333,0.2424, carbs
peas (canned),0.636,0.106,0.004,0.044, carbs
"peas,black eyed,kroger (uncooked)",2.43,0.62,0,0.24, carbs
"pita,josephs pita bread",2.385,0.41,0.026,0.128, carbs
"pita,josephs- flax oat bran and whole wheat",2,0.216,0.054,0.162, carbs
plantains (raw),1.369,0.3184,0.0056,0.0112, carbs
poi (cooked),1.257,0.2733,0.0033,0.0333, carbs
"popcorn,orville redenbacher (original kernels,unpopped)",3.638,0.725,0.0375,0.1, carbs
polenta (dry),3.429,0.7714,0,0.0857, carbs
"popcorn,skinny pop",5.444,0.5,0.3333,0.1111, carbs
"potaotes obrien,ore ida",0.71,0.15,0,0.02, carbs
"potato,little potato company- little charmers",0.773,0.1667,0,0.0267, carbs
"potato,new baby",0.72,0.17,0,0.01, carbs
"potato,red",0.689,0.151,0.001,0.019, carbs
"potato,oriental japanese sweet",1.13,0.17,0,0.02, carbs
"potato,ruby lou",0.6,0.13,0,0.02, carbs
"potato,russet",0.796,0.175,0.001,0.021, carbs
"potato,russet ore ida",0.796,0.175,0.001,0.021, carbs
"potato,simply potatoes shredded hash browns",0.872,0.2051,0,0.0128, carbs
"potato,sweet",0.862,0.192,0.002,0.02, carbs
"potato,sweet mc cain",0.47,0.11,0,0.01, carbs
"potato,yukon gold",0.693,0.16,0,0.0133, carbs
"potato,sweet ore ida",0.73,0.16,0,0.01, carbs
"potatoes,ore ida hash browns",0.82,0.19,0,0.02, carbs
"potatoes,safeway kitchens country style hash browns",0.857,0.1905,0,0.0238, carbs
"puffed corn,arrowhead mills",3.75,0.75,0.06,0.13, carbs
"potatoes,trader joes frozen hashbrowns",0.706,0.1647,0,0.0118, carbs
pumpkin,0.337,0.067,0.003,0.011, carbs
quinoa,1.2,0.213,0.019,0.044, carbs
quinoa flakes,3.71,0.64,0.07,0.13, carbs
"quinoa macaroni,gogo quinoa",3.661,0.7857,0.0179,0.0893, carbs
"quinoa,ancient harvest flakes",3.857,0.6286,0.06,0.1257, carbs
"quinoa,ancient harvest pasta (dry)",3.6,0.81,0.02,0.07, carbs
"quinoa,bobs red mill (dry)",3.81,0.67,0.06,0.14, carbs
"quinoa,roland (dry)",3.56,0.64,0.06,0.13, carbs
"quinoa,roland garden vegetable (dry)",3.611,0.6444,0.0556,0.1333, carbs
"rice and beans,eden organic cajun (canned)",0.823,0.165,0.008,0.023, carbs
"quinoa,roland roasted garlic (dry)",3.622,0.6222,0.0667,0.1333, carbs
"rice and beans,eden organic carribean (canned)",0.838,0.162,0.008,0.031, carbs
"rice cake,butter toffee",4.033,0.8667,0.0333,0.0667, carbs
"rice cake,caramel chocolate chip",4.033,0.8667,0.0333,0.0667, carbs
"rice cake,lundberg brown rice",3.395,0.7368,0.0263,0.0526, carbs
"rice cakes,caramel",3.692,0.8462,0,0.0769, carbs
"rice cakes,mini caramel corn",3.67,0.87,0.02,0.03, carbs
"rice cakes,lundberg brown",3.395,0.7368,0.0263,0.0526, carbs
"rice cakes,quaker apple cinnamon",3.85,0.85,0,0.08, carbs
"rice cakes,quaker butter popcorn minis",4.775,0.7,0.175,0.1, carbs
"rice cakes,quaker chocolate chunk",4.067,0.8,0.0667,0.0667, carbs
"rice cakes,quaker ranch",4.33,0.7,0.17,0.07, carbs
"rice cakes,quaker mini cheddar",4.67,0.7,0.17,0.07, carbs
"rice cakes,quaker white cheddar",3.682,0.7273,0.0455,0.0909, carbs
"rice sticks,dynasty dry",3.447,0.8421,0.0088,0, carbs
"rice,annie chuns,white sticky",1.41,0.3238,0,0.0286, carbs
"rice,basmati (kirkland)",1.147,0.2657,0,0.021, carbs
"rice,brown",1.11,0.23,0.009,0.026, carbs
"rice,basmati",1.03,0.23,0,0.02, carbs
"rice,brown basmati,good health",3.631,0.7667,0.0222,0.0911, carbs
"rice,brown basmati (ecolife),cooked",0.648,0.1379,0.0038,0.0153, carbs
"rice,brown medley (trader joes) cooked",1.035,0.2129,0.0032,0.0387, carbs
"rice,brown trader joes instant",1.682,0.3784,0.0068,0.027, carbs
"rice,brown jasmine rice,trader joes (cooked)",1.315,0.2741,0.0111,0.0296, carbs
"rice,brown trader joes medley (dry)",3.567,0.7333,0.0111,0.1333, carbs
"rice,jasmine,thai hom mali (cooked)",1.463,0.3415,0,0.0244, carbs
"rice,brown,sprouts long grain basmati",1.76,0.37,0.02,0.04, carbs
"rice,carolina jasmine rice (dry)",3.467,0.8,0,0.0667, carbs
"rice,heirloom forbidden rice (dry)",3.567,0.7167,0.0333,0.1, carbs
"rice,minute brown (cooked)",1.856,0.352,0.032,0.04, carbs
"rice,minute multi-grain medley w/ quinoa,cooked",0.928,0.1897,0.0086,0.023, carbs
"rice,natures path organic crispy brown",3.783,0.767,0.05,0.067, carbs
"rice,nishiki white sushi (uncooked)",3.429,0.7857,0,0.0714, carbs
"rice,sticky white",1.18,0.26,0,0.03, carbs
"rice,sukoyaka genmai brown rice (pre-cooked)",3.478,0.7778,0.0111,0.0667, carbs
"rice,uncle bens bistro express cheddar cheese",1.456,0.2556,0.0333,0.0333, carbs
"rice,uncle bens ready rice in brown basmati",1.69,0.3285,0.0255,0.0365, carbs
"rice,uncle bens ready rice- basmati",1.65,0.33,0.02,0.05, carbs
"rice,uncle bens spanish style ready rice",1.378,0.2778,0.0174,0.0278, carbs
"rice,uncle bens,original ready rice",1.418,0.2857,0.0179,0.0286, carbs
"rice,uncle bens ready rice (whole grain brown variety)",1.45,0.2786,0.0214,0.0357, carbs
"rice,white",1.26,0.282,0.003,0.027, carbs
"rice,wild",1.003,0.204,0.003,0.04, carbs
rutabagas,0.384,0.0784,0.002,0.013, carbs
"squash,acorn",0.4,0.1,0,0.01, carbs
"squash,butternut",0.477,0.107,0.001,0.01, carbs
"squash,kabocha",0.35,0.08,0,0.01, carbs
"squash,delicata (cooked)",0.421,0.0877,0,0.0175, carbs
"squash,spaghetti",0.314,0.059,0.006,0.006, carbs
suzies whole grain thin cakes all natural puffed crackers,3.25,0.75,0,0.0625, carbs
"tapioca,swad",3.52,0.88,0,0, carbs
"thin cakes,multigrain (suzies)",3.2,0.6,0,0.07, carbs
"tortilla,chi chi",2.956,0.4737,0.0789,0.0877, carbs
"tortilla,dempsters whole wheat",2.897,0.4706,0.0735,0.0882, carbs
"tortilla,don pancho whole wheat",2.556,0.4222,0.0667,0.0667, carbs
"tortilla,dona elsita,white corn",1.94,0.4,0.02,0.04, carbs
"tortilla,food for life,brown rice",2.219,0.4211,0.0439,0.0351, carbs
"tortilla,la tortilla (large)",80,18,3,8, carbs
"tortilla,la tortilla (small)",2.847,0.4722,0.0694,0.0833, carbs
"tortilla,latortilla,wheat/gluten free ancient grain ivory teff",2.939,0.5,0.0909,0.0303, carbs
"tortilla,mission yellow (extra thin) gluten free",2.17,0.4286,0.0268,0.0536, carbs
"tortilla,tortillaland,gluten-free corn",1.513,0.325,0.0125,0.025, carbs
"tortilla,xtreme wellness tomato basil",94,11,2,8, carbs
"waffles,eggo,whole grain,low fat",2.093,0.3857,0.0357,0.0571, carbs
"waffles,nutrigrain,whole grain",2.15,0.3857,0.0357,0.0714, carbs
"waffles,vans gluten free",3.039,0.5132,0.0921,0.0395, carbs
"waffles,vans blueberry",2.376,0.4118,0.0706,0.0235, carbs
whole grain deli flats (pepperidge farms),2.5,0.406,0.035,0.139, carbs
"wrap,lbc mountain bread light barley",2.709,0.54,0.013,0.108, carbs
"wrap,tumaro,whole wheat (low carb)",2.25,0.325,0.05,0.125, carbs
"wrap,tumaros whole wheat low-carb (8 in)",2.25,0.325,0.05,0.125, carbs
"wraps,won ton",2.67,0.52,0.01,0.1, carbs
yautia root,0.98,0.24,0.01,0.01, carbs
yams (raw),1.199,0.28,0.002,0.0153, carbs
"yogurt,grass fed,whole milk",0.618,0.0466,0.0325,0.0347, carbs
"yogurt,jalna",0.53,0.07,0,0.05, carbs
"yogurt,light n fit vanilla",0.48,0.09,0,0.03, carbs
"yogurt,yoplait light",0.494,0.0941,0,0.0294, carbs
arrowhead mills rice & shine hot cereal,3.570037648,0.76009347,0,0.070102557, carbs
"bread,fit & active",2.333326263,0.400059394,0.02227266,0.133211718, carbs
"bread,ezekiel prophetu2019s pocket bread",2.130007939,0.450012586,0,0.150068741, carbs
"cream of wheat,bobu00e2u20acu2122s red mill hot cereal",3.719986473,0.7700372,0.010145418,0.120054109, carbs
"bread,josephs flax oat bran & wheat lavash",2.062512891,0.218813868,0.06243789,0.156375977, carbs
"oatmeal,quaker apples & cinnamon (low sugar)",3.661296765,0.709625882,0.048262548,0.096857942, carbs
"oatmeal,quaker cinnamon & spice (low sugar)",3.823560082,0.70596823,0.058743787,0.117487573, carbs
"oatmeal,quaker,maple & brown sugar (low sugar)",3.823560082,0.70596823,0.058743787,0.117487573, carbs
"pasta,brown rice spaghetti,fit & active",3.598181283,0.76804815,0.026822806,0.071309411, carbs
"pancakes & waffle mix,crunchy peanut butter,kodiak cakes,",4.113225891,0.509292151,0.113300677,0.264368246, carbs
"pancake & waffle mix,full circle (gluten free)",3.520450618,0.816424502,0.010241311,0.040645203, carbs
"quinoa & flax,hodgson mill,hot cereal",3.87501321,0.649945398,0.075034347,0.150068693, carbs
"rice cakes,sunrice sea salt & balsamic vinegar",3.879933688,0.689922754,0.080067722,0.080067722, carbs
"rice,brown y&y vermicelli",3.52,0.82016,0,0.06016, carbs
"rice,organic millet & brown rice ramen",3.642866605,0.685852431,0.04305206,0.12849384, carbs
"rice,uncle bens red beans & rice,ready rice",1.431974693,0.278844527,0.017053517,0.040746189, carbs
"salsa,newmans own black bean & corn",0.749998295,0.156272372,0,0.031295383, carbs
"soup,roasted red pepper & tomato",0.424999227,0.066686242,0.008306803,0.020786326, carbs
"suzies corn,quinoa & sesame cakes",2.923044218,0.615433673,0,0.115327381, carbs
"tortilla,fit & active,whole wheat flour",2.999972728,0.511086263,0.066817574,0.088908283, carbs
"wrap,superfoods organic,chia,spinach,kale & broccoli",2.716653083,0.54283668,0.011854486,0.109407029, carbs
"almond butter,almond butter: maranatha natural -roasted no sodium",6,0.1875,0.5,0.1875, fat
"almond butter,barney",6.25,0.2188,0.5,0.2188, fat
"almond butter,ds natural fluffbutter,bananas foster",5.914,0.2,0.4286,0.3143, fat
"almond butter,justins organic maple",6.094,0.2813,0.4688,0.1875, fat
"almond butter,ds natural fluffbutter,smores",5.914,0.2,0.4286,0.3143, fat
"almond butter,kirkland (creamy)",6.688,0.2188,0.5625,0.1875, fat
"almond butter,maranatha creamy no-stir",5.94,0.22,0.53,0.19, fat
"almond butter,justins vanilla",6.063,0.375,0.4375,0.1563, fat
"almond butter,maranatha crunchy",5.63,0.19,0.5,0.22, fat
"almond butter,natural",7.2,0.207,0.633,0.16, fat
"almond butter,maranatha dark chocolate almond spread",5.938,0.375,0.4375,0.125, fat
"almond butter,vermont champlain cherry",6.69,0.31,0.5,0.31, fat
"almond butter,snickerdoodle,buff bake",5.5,0.1944,0.3889,0.3056, fat
"almond milk,unsweetened",0.116,0.0041,0.0102,0.0041, fat
artisana sesame tahini,6.09,0.19,0.56,0.19, fat
avocado,1.6,0.052,0.147,0.02, fat
"almond spread,buff bake snickerdoodle",6.188,0.2188,0.4375,0.3438, fat
butter,7.34,0.001,0.811,0.009, fat
"butter,artisans macadamia",6.69,0.19,0.66,0.12, fat
"butter,cashew",6.2,0.266,0.494,0.176, fat
"butter,country crock light",3.214,0,0.3571,0, fat
"butter,lurpak lighter slightly salted spreadable",5.158,0.004,0.57,0.003, fat
"butter,nature whipped",4.2,0,0.4667,0, fat
"butter,smart balance",5.786,0,0.6429,0, fat
cacoa nibs,6.214,0.2857,0.5,0.1429, fat
"cheese,american (full fat)",3.9,0.1,0.3,0.2, fat
"cheese,cheddar",4.05,0.014,0.331,0.25, fat
"cheese,cabot extra sharp",4.035,0.0357,0.3214,0.25, fat
"cheese,brie",3.34,0.005,0.277,0.208, fat
"cheese,blue",3.33,0,0.3,0.2, fat
"cheese,gouda",3.56,0.022,0.274,0.249, fat
"cheese,gorgonzola",3.5,0.02,0.28,0.21, fat
"cheese,goat",2.643,0.036,0.214,0.143, fat
"cheese,feta",2.64,0.041,0.213,0.142, fat
"cheese,colby jack",3.93,0.04,0.32,0.21, fat
"cheese,chihuahua mexican quesadilla",3.429,0,0.2857,0.2143, fat
"cheese,mozzerella (part skim)",2.54,0.028,0.159,0.243, fat
"cheese,muenster",3.614,0.0107,0.2857,0.25, fat
"cheese,natural valley goat mozzarella",3.571,0,0.2857,0.25, fat
"cheese,kirkland mexican blend",3.93,0.01,0.32,0.21, fat
"cheese,jarlsberg deli thin sliced swiss,reduced fat",2.405,0,0.119,0.3333, fat
"cheese,havarti",3.93,0.036,0.286,0.25, fat
"cheese,natural valley goat,colby jack",3.571,0,0.2857,0.25, fat
"cheese,natural valley goat,medium cheddar",3.893,0,0.3214,0.25, fat
"cheese,parmesan",3.92,0.03,0.26,0.36, fat
"cheese,pepper jack",4.036,0.036,0.321,0.25, fat
"cheese,presidents choice blue menu cream cheese",2.15,0.1,0.15,0.1, fat
"cheese,provolone",3.51,0.021,0.266,0.256, fat
"cheese,ricotta (whole)",4.28,0.03,0.13,0.11, fat
"cheese,pecorino romano (shredded)",3.5,0,0.3,0.2, fat
"coconut butter,artisana,cacao bliss",5.75,0.25,0.5,0.0625, fat
"cheese,tillamook sharp cheddar slices",3.953,0,0.3333,0.2381, fat
coconut butter,6.714,0.161,0.643,0.071, fat
"cheese,swiss",3.8,0.054,0.278,0.269, fat
"coconut butter,maranatha",7.907,0.2581,0.6452,0.0645, fat
"coconut butter,sweet spread maple pancake",10.267,0.3333,0.9333,0.1333, fat
"coconut butter,sweet spread vanilla cupcake",11.133,0.4,1,0.1333, fat
"coconut butter,sweet spread white chocolate",10.867,0.3333,1,0.1333, fat
"coconut butter,sweet spreads chocolate brownie",9.933,0.4,0.8667,0.1333, fat
"coconut butter,nutiva",6.929,0.2143,0.6429,0.0714, fat
"coconut milk (100%),aroy-d",1.725,0.025,0.175,0.0125, fat
"coconut milk,thai kitchen lite",0.563,0.0127,0.057,0, fat
"coconut,bobs red mill unsweetened raw",6.67,0.27,0.67,0.07, fat
"coconut,unsweetened",7.33,0.27,0.67,0.07, fat
"coconut,sprouts,shredded light",5.8,0.3333,0.4667,0.0667, fat
cookie butter,6,0.53,0.4,0.03, fat
"greek yogurt,astro original",1.416,0.04,0.104,0.08, fat
"flour,almond",6.214,0.2143,0.5,0.2143, fat
"flaxseed,whole",5.5,0.3,0.4,0.2, fat
"cream cheese,greek yogurt (everything bagel flavor)",2.033,0.0667,0.1667,0.0667, fat
"guacamole,goodfoods",1.318,0.0606,0.1061,0.0303, fat
hazelnut butter,6.81,0.06,0.66,0.17, fat
hazelnuts,6.29,0.18,0.61,0.14, fat
"hazelnut butter,justins organic chocolate",5.94,0.34,0.5,0.13, fat
"guacamole,wholly classic mini cup",1.842,0.0877,0.1579,0.0175, fat
"kirkland,natural peanut butter chunky",6.375,0.2188,0.5,0.25, fat
"hummus,roasted red pepper (publix)",2.241,0.1379,0.1724,0.0345, fat
"hummus,hannah classic",2.509,0.1228,0.193,0.0702, fat
hempseed butter,5.393,0.232,0.321,0.393, fat
macro natural almond spread,6.3,0.16,0.58,0.23, fat
"mayonnaise,hellmans light",2.713,0.06,0.26,0.0333, fat
"mayonnaise,neal brother",6.627,0,0.7333,0.0067, fat
"milk,so delicious unsweetened coconut",0.202,0.0083,0.0188,0, fat
"nuts,almond",5.96,0.138,0.506,0.213, fat
"mayonnaise,best foods light",2.367,0.0667,0.2333,0, fat
"nuts,almond emerald cocoa or vanilla",6.036,0.25,0.4643,0.2143, fat
"nuts,almonds blue diamond mocha",6.036,0.25,0.4643,0.2143, fat
"nuts,almonds blue diamond smokehouse",6.714,0.1786,0.5714,0.2143, fat
"nuts,almonds blue diamond toasted coconut",6.357,0.25,0.5,0.2143, fat
"nuts,brazil",6.89,0.086,0.664,0.143, fat
"nuts,cashew",5.82,0.286,0.439,0.182, fat
"nuts,kirkland whole mixed nuts",6.393,0.2143,0.5357,0.1786, fat
"nuts,almonds planters pumpkin spice",5.857,0.3214,0.4286,0.1786, fat
"nuts,macadamia",7.518,0.095,0.758,0.079, fat
"nuts,pecan",7.21,0.091,0.72,0.092, fat
"nuts,walnut",6.89,0.104,0.652,0.152, fat
"oil,avocado,avolio (costco)",8.4,0,0.9333,0, fat
"peanut butter,adams 100% natural",6,0.1875,0.5,0.1875, fat
olives,1.67,0,0.17,0.03, fat
"peanut butter,blonde peanut butter cup",6.21,0.36,0.36,0.18, fat
"peanut butter,crazy richards",5.94,0.22,0.5,0.28, fat
"peanut butter,earth balance coconut and peanut spread",6.125,0.2188,0.5,0.1875, fat
"peanut butter,dark chocolate dreams by the peanut butter co.",5.906,0.375,0.406,0.188, fat
"peanut butter,earths pride organic creamy",6.375,0.2188,0.5,0.25, fat
"peanut butter,field day (crunchy)",6.25,0.19,0.5,0.25, fat
"peanut butter,jif natural creamy",6.182,0.2424,0.4848,0.2121, fat
